rxn_id,has_energy,energy_source,atp_synthase_heuristic,abc_transporter_heuristic,stored_bounds_heuristic,mmdeltag_band_heuristic,low_energy_heuristic,default_heuristic,cascade_winner,cascade_operator
rxn16859,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16860,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16861,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16862,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16863,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16864,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16865,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16866,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16867,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16868,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16869,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16870,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16871,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16872,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16873,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16876,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16877,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16878,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16879,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16880,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16881,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16882,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16883,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16884,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16885,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16887,1,eQuilibrator,-,-,-,-,<,=,low_energy_heuristic,<
rxn16888,1,eQuilibrator,-,-,-,-,<,=,low_energy_heuristic,<
rxn16889,1,eQuilibrator,-,-,-,-,<,=,low_energy_heuristic,<
rxn16890,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16891,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16892,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn16893,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16894,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16895,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16896,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16897,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16898,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16899,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16900,1,Group contribution,-,-,-,-,-,=,default_heuristic,=
rxn16901,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16947,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16993,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16994,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16995,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn16996,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16997,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn16998,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn16999,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17000,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17001,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17047,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17048,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17049,0,,-,-,NA,NA,NA,=,default_heuristic,=
